comentario,resposta_api
"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤","I would classify this comment as Positive. The use of emojis such as 😂😂😂 and ❤❤❤ convey a playful and lighthearted tone, indicating that the commenter is joking and not seriously criticizing the music or its lyrics."
"Worst album, can’t believe this got chosen over billie, WILD","I would classify this comment as Negative. The user explicitly states that they think the album is ""worst"" and expresses disappointment that it was selected over another artist (Billie), which indicates a strong negative sentiment."
I think this song is great! It's definitely catchy.😊,"Positive: The commenter explicitly states that they ""think"" the song is ""great"", uses positive language like ""catchy"", and includes a smiling face emoji (😊), indicating their genuine enthusiasm for the music."
I came here thinking I was going to hear country music. I was awfully wrong,"Negative

This comment is negative because it expresses disappointment and surprise at not getting what the user expected from the music, which is a different genre than country. The tone is also slightly sarcastic with ""awfully wrong"", implying that the commenter feels misled or misinformed."
This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,"I would classify this comment as Neutral. The comment states that the song is ""not bad"", which suggests a lack of strong negative sentiment, and also acknowledges the genre-bending nature of the song, without expressing strong emotions or opinions about it."
This is the worst country song by a non-country artist EVER.,"I would classify this comment as Negative. The commenter explicitly states that the song is ""the worst"", making their sentiment clearly unfavorable."
Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,"I would classify this comment as Negative. Although it contains some humorous elements (the use of ""Lmao"" and multiple laughing emojis), the majority of the text expresses strong dislike for the music, calling it ""Worst crap"" and implying that people should be honest about their true opinions. The tone is overwhelmingly critical and negative."
How TF did this shit song beat the masterpiece that Chris Stapleton played with Cold,"I would classify this comment as Negative. The commenter is expressing their disappointment and frustration that they think a ""shit"" song won over a ""masterpiece"" (referring to Chris Stapleton's collaboration with Cold), showing a strong negative sentiment towards the winning song."
"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad","I would classify this comment as Negative. The comment starts by making a negative comparison between the artist's style and Bruno Mars', and although it acknowledges that ""she a good singer"", the overall tone is critical with the phrase ""this is bad""."
Catchy. It Grew on me lol,"I would classify this comment as Positive with justification: The use of the word ""catchy"" and the phrase ""it grew on me"" indicate that the commenter started out neutral but eventually developed a positive opinion about the song, which suggests a positive sentiment overall."
One of the worst mv i have ever watched lol,"I would classify this comment as Negative. The phrase ""one of the worst"" clearly expresses a strong negative sentiment towards the music video, despite the added humor with ""lol"", which is often used to soften the tone but doesn't change the overall negativity."
This song is the worst country song I've ever heard,"I would classify this comment as Negative. The commenter explicitly states that the song is ""the worst"" they have ever heard, indicating a strong dislike for the music."
this isn’t country & how she won the country music award is mind boggling.. oh wait it’s hush money type of vibe lol she part of the diddy shiit,"I would classify this comment as Negative. The commenter expresses surprise and confusion that the artist won a country music award, implying they don't think she fits the genre, and also uses sarcastic language to describe the situation (""hush money type of vibe"")."
How bad were the other country songs that this garbage beat?,"I would classify this comment as Negative. The commenter uses strong language to express their dislike for the song, calling it ""garbage"" and implying that other country songs must have been better."
Worst song in history.  I am happy the hype died down fast cause it was so annoying to constantly hear it at the radio.,"I would classify this comment as Negative. The comment explicitly states that the song is the ""worst"" and uses strong language to express annoyance, indicating a strongly negative sentiment towards the music."
I am loving the inclusent of diverse genre,Positive: This comment is positive because it expresses enthusiasm and approval for the music video's inclusion of different genres.
"monotonous, boring","I would classify this comment as Negative. The use of words like ""monotonous"" and ""boring"" indicates that the commenter has a strong dislike for the music video's style or pace."
This is soo different 😮❤🎉maintaining her soulfulness too still😢,"I classify this comment as Positive. The use of enthusiastic emojis (😮, ❤, 🎉) and phrases like ""soo different"" suggest that the commenter is impressed and excited by the music video, while the mention of maintaining the artist's ""soulfulness"" reinforces their positive sentiment."
Adding an acoustic guitar doesnt make it country. This is trash for sure,"I would classify this comment as Negative. The use of strong language (""trash"") and the explicit statement that the video is bad (""This is trash for sure"") indicate a strongly negative sentiment towards the music video."
"This ain't Texas is nothing like that Franklin theme song, so you people who are claiming that must be tone deaf...see a doctor!","I would classify this comment as Negative. The commenter is expressing strong disagreement with others' opinions, using derogatory language (""tone deaf"") and even suggesting they should seek medical attention, which indicates a negative sentiment towards the topic and other viewers."
No melody....nothing,"I would classify this comment as Negative. The phrase ""No melody"" explicitly criticizes the song's lack of a melody, conveying a strong negative sentiment towards the music."
Oh my gawd your who made this song beoncay made this song no wonder why I hate her I hated this song it’s like the worst song on the radio,"I would classify this comment as Negative. The commenter explicitly states that they ""hate"" the song and use strong language to describe its quality, calling it ""the worst song on the radio""."
"Great beat, singing & lyrics.","I would classify this comment as Positive. The use of positive adjectives such as ""great"" to describe the beat, singing, and lyrics suggests that the commenter is very pleased with the music video."
Literally the worst video and worst song ever from Beyoncé. She should’ve never won the award for best country music😅 the award should’ve gone to chris stapleton🎉,"I would classify this comment as Negative. The commenter explicitly states that the video and song are ""the worst"" and expresses disappointment that Beyoncé received an award instead of Chris Stapleton, indicating a strong negative sentiment towards Beyoncé's work."
Hahaha  That's awful.,"I would classify this comment as Negative. Although it starts with ""hahaha"", which could suggest humor or playfulness, the phrase ""That's awful"" reveals that the commenter is actually expressing disapproval or dislike for the music video."
so annoying song,"Negative: This comment expresses frustration and annoyance towards the song, indicating a negative sentiment."
"Listen guys there are real country singers who shoulda won not her. But don’t go lying saying this shit ISNT a bop lmao it’s a good song has a good vibe and IS a country song in reality, and honestly? This is one of her best songs… unlike her old music really","I would classify this comment as Neutral with a hint of Positivity. The commenter starts by expressing a negative opinion about the winner not being a ""real"" country singer, but then quickly shifts to praising the song, calling it a ""bop"", ""good"", and one of the artist's best songs. The tone is more constructive criticism than outright negativity, making it lean towards Neutral with a dash of positivity."
Worst album ever wtf,"Negative. The commenter uses strong language (""worst"", ""wtf"") to express their dislike for the album."
Seriously worst video ever.,"I would classify this comment as Negative. The commenter uses the phrase ""worse"" to express their strong dissatisfaction with the video, indicating a negative sentiment."
this is one of the worst and cringiest songs ever,"I would classify this comment as Negative. The user explicitly states that the song is ""one of the worst"" and ""cringiest"", indicating strong disapproval and dislike for the music."
"Could possibly be the worst song ever written. Seriously, all hype and zero substance","I would classify this comment as Negative. The comment explicitly states that the song is possibly the ""worst ever written"" and criticizes it for having ""zero substance"", showing strong disapproval and dislike towards the song."
Worst album,"Negative

This comment is negative because it directly states that the album is ""worst"", indicating a strong dislike for the music."
"I'm just listening to this song for the first time and I honestly don't see the fuss. I place it in the Country Pop category right along with Shania Twain music.  It's not that deep for the controversy.  Did she deserve a Grammys?  That's always debatable and possibly not but hey, we don't get a vote in it - I never pay attention to it anyway.  The video and outfit could have been better though.","I would classify this comment as Neutral with a slight leaning towards Negative. Justification: While the commenter expresses some criticism of the song's depth and video/outfit, they also acknowledge that opinions on the Grammy awards are debatable and ultimately don't matter, indicating a neutral or ambivalent stance overall."
One of the worst songs I've ever listened in my whole life,"Negative

Justification: The commenter explicitly states that the song is ""one of the worst"" they have ever heard, expressing strong dislike for the music."
I haven’t liked country music since the early 2000’s and this video gives me all the more reason to continue my dislike. This is the worst video I’ve ever seen.  Disrespectful and disgusting!,"I would classify this comment as Negative. The commenter explicitly states that the video is ""the worst"" they've ever seen, and uses strong language to express their disdain, calling it ""disrespectful"" and ""disgusting""."
Sounds awful. No dynamic range at all. Loudness war has hit another peak.,"I would classify this comment as Negative. The commenter uses strong language to express their dislike for the song, stating that it ""sounds awful"" and criticizing its production quality by saying there is no dynamic range, implying that it's overly compressed and lacks depth."
THIS won a Grammy? Awful.,"I would classify this comment as Negative. The comment starts by expressing surprise that the song won a prestigious award, implying that it didn't deserve to, and then directly states that it's ""Awful"", which is a strong negative sentiment."
This is the worst shit I’ve ever heard Beyoncé’s a muppet,"I would classify this comment as Negative. The use of strong language (""worst shit"") and derogatory comparison (Beyoncé being a ""muppet"") clearly expresses disgust and disapproval towards the music video."
Worst song ever ever ever,"I would classify this comment as Negative. The repeated use of ""worst"" emphasizes the commenter's strong dislike for the song."
This is by far one of the worst songs ever created….,"I would classify this comment as Negative. The phrase ""one of the worst"" explicitly expresses a strong negative sentiment towards the song."
Listen to lyrics carefully. Tornado in the basement. Whose basement? Diddy's?,"I would classify this comment as Negative. The tone of the comment is sarcastic and critical, questioning the relevance and depth of the song's lyrics, implying that they are shallow or unoriginal."
One of the worst songs i have ever heard,"I would classify this comment as Negative. The commenter explicitly states that the song is ""one of the worst"" they've ever heard, expressing a strongly negative opinion."
This so called song has no chorus. It feels like an unfinished demo.,"I would classify this comment as Negative. The commenter uses phrases such as ""no chorus"" and ""unfinished demo"", implying that the song is lacking in structure and completion, which suggests a negative opinion of the music."
Those lyrics are not country at all. Its just the twangy stringed instruments.,"I would classify this comment as Negative. The commenter explicitly states that the lyrics are not country, implying that they have a strong negative opinion about the video's genre classification."
"The song is okay (C-) but I would not  play it again, or pay for it.. This song and video feels trashy and angry, not vibrant and powerful. Her music used to be a lot better.","I would classify this comment as Negative. The commenter explicitly states that the song is ""trashy"" and ""angry"", implying a strong dislike, and also expresses regret about paying for the song or listening to it again."
"nunca vi ni escuché alguien justificando a la compra premios beyonce vocalisima me decepcionas, sobre todo habiendo tantas artistas realmente buenas para apoyar","I would classify this comment as Negative. The user expresses disappointment and frustration towards Beyoncé's vocal performance, feeling that she fails to justify the reward aspect of her music, and implies that there are better artists out there to support."
This is the worst song I have ever heard,"Negative

Justification: The commenter explicitly states that the song is the ""worst"" they've ever heard, indicating a strong negative sentiment towards the music."
This is pretty much the worst song ever,"I would classify this comment as Negative. The user explicitly states that the song is ""the worst,"" indicating a strong negative sentiment towards the music."
Backyardigans vibes,"I would classify this comment as Positive. The mention of ""Backyardigans"" evokes a sense of nostalgia and fondness for the show, which suggests that the commenter is expressing a positive sentiment towards the music video's style or atmosphere."
Great.   This is all we need.   Country with pop stars singing vibrato horse shit with 47 notes per second garbage music.   Perfect.  😂,"I would classify this comment as Negative. Although the commenter ends with a smiling face emoji, the majority of the comment expresses disgust and disdain for the music, calling it ""vibrato horse shit"" and criticizing its fast-paced tempo. The sarcastic tone and negative language used to describe the music outweigh any potential irony or humor intended by the use of ""Perfect."""
The tune is catchy. Her costume is trashy.,"I would classify this comment as Neutral with a hint of Negative. The positive statement about the tune being ""catchy"" is balanced by the negative description of the costume as ""trashy"", which cancels out the overall sentiment, leaving it neutral."
Worst song I've ever heard!!!!!!,"I would classify this comment as Negative. The strong language used (""worst song I've ever heard"") and the excessive number of exclamation marks convey a strong negative sentiment towards the song."
Really inventive video      Not repetitive,"I would classify this comment as Positive. The words ""really inventive"" convey a sense of admiration and praise for the video's creativity, while the phrase ""not repetitive"" suggests that the viewer found the content engaging and varied."
the queen of universe,"Positive: The commenter is using a title-like phrase to praise the artist, suggesting that they hold them in high esteem."
Didn't like Cowboy Carter but this one is a catchy song. I dig it.,"I would classify this comment as Positive. The user states that they ""dig"" (like) the song, indicating a positive sentiment towards the music, despite not liking another song by the same artist (""Cowboy Carter"")."
Did an AI write these lyrics? They play this song all the time at my workpalce and everyone hates it. Many of them are fans of her too,"I would classify this comment as Negative. The commenter expresses dislike towards the song being played repeatedly at their workplace, indicating a negative sentiment towards the music."
"I'm trying to come up with words. A decade ago I had a weed induced panic attack to ""get me bodied"" I have always liked that song because it has a good beat and I was high as balls. Every other song of hers makes me wish I were deaf. I keep hearing about this song and her country thing. I had to watch the video and listen to this song. They definitely put a lot of effort into the video and the song is so good.im scared for what generations ahead call music.","I would classify this comment as Positive, with justification: Despite expressing some skepticism about JLo's future music projects, the commenter enthusiastically praises the quality of the song and video, using phrases like ""has a good beat"", ""so good"", and acknowledging the effort put into the production."
It is a very catchy song and her stocking and black undies remind me of dancer Caldina from Magic Knight Rayearth.,"I would classify this comment as Positive. The commenter uses the word ""catchy"" to describe the song, indicating their enjoyment of it, and also makes a positive comparison to another dancer they admire, showing enthusiasm for the performer's aesthetic."
"How did this win a Grammy?🤣🤣this is terrible worst song I’ve heard in my life, no wonder she fell off so hard,she’s just rich that’s the only reason she’s still making songs and buying her listeners🤣no one actually even listens to her no more though,judging by this song I can see why that is","I would classify this comment as Negative. The commenter expresses strong disapproval of the song, calling it ""terrible"" and stating that it's ""the worst song [they've] heard in [their] life"", which clearly indicates a negative sentiment."
"I got to say this is crap. Just cookie cutter stuff. I guess when you serve the devil you'll get a temporary payday on planet Earth, but you end up losing your soul","I would classify this comment as Negative. The commenter explicitly states that the music video is ""crap"" and implies that it lacks originality, using phrases like ""cookie cutter stuff"" to emphasize their disappointment. The tone is critical and disapproving, with a hint of moral judgment towards the artist for compromising their artistic integrity."
This is going down as one of the worst songs in human history,"I would classify this comment as Negative because it explicitly states that the song is ""one of the worst"" and implies that it has no redeeming qualities."
This is the worst music that's been released in 10 years.,"I would classify this comment as Negative. Justification: The commenter uses strong language to express their dislike for the music, stating it's the ""worst"" in 10 years, indicating a strong negative sentiment towards the song."
Another tricking annoying song first was that stupid I.m Single Lady This one is even worse what next for her maybe opera next haha,"I would classify this comment as Negative. The commenter uses strong language to express their dislike of the song, calling it ""tricking"" and ""annoying"", and also mentions a previous song they disliked (""I'm Single Lady""). The tone is sarcastic and critical, with a hint of mockery towards the artist's potential future musical endeavors."
"I don't think country people like the video.  They might find it insulting.  I am brutally honest,  sorry. That shit ain't pretty.  😮 😅 But if this video was well known when ""Yellowstone""  was still on it would have been better.","I classify this comment as Negative. The commenter expresses their opinion that the video might be insulting to country people and uses strong language (""That shit ain't pretty"") to emphasize their negative sentiment, making their overall tone unfavorable."
This has to be one of the worst songs of 2024,"I would classify this comment as Negative because it explicitly states that the song is ""one of the worst"" of the year, indicating strong disapproval."
At 1:45 how come I can hear the lyrics being edited from Sugar to liquor? Listen closely. I know Beyonce says both during the song.,"I would classify this comment as Neutral. The commenter is simply pointing out an observation about the lyrics, without expressing any strong emotion or opinion, and is asking others to ""listen closely"" to confirm their finding."
Beyoncé fell off. Worst singer ever. Went from singing about her ass to singing country to stay relevant,"I would classify this comment as Negative. The commenter explicitly states that Beyoncé is the ""worst singer ever"" and implies that she's only trying to stay relevant by changing her genre, which conveys a strongly negative opinion of the artist."
This is literally the worst fucking song ever created. Yikes,"Negative.

The use of strong language (""worst"", ""fucking"") and the phrase ""Yikes"" conveys a strong negative sentiment towards the song. The commenter's opinion is overwhelmingly critical, making it clear that they dislike the song."
This is really annoying but also really catchy please help like I hate it but I keep on listening to it- 😭💀,"I would classify this comment as Positive. Despite the user expressing that they ""hate"" the song, their admission of repeatedly listening to it suggests that the song has a strong emotional impact on them, which is ultimately a positive sentiment."
"Catchy, but the Grammy's is CRAZY for this garbage album being named best Country Album!?! Although not wholly unexpected in Hollyweird were a man gets nominated for Best Actress","I would classify this comment as Negative. The commenter uses strong language to express their dislike for the album winning the Grammy for Best Country Album, calling it ""garbage"" and criticizing the Grammy's decision."
"Sorry, but way way too overproduced....  and it really doesn't blend the pop/country vibes... shaboozey is doing it right and sounds hungry...Beyonce just seems bored. I'm just not digging it...","I would classify this comment as Negative. The commenter explicitly states that they ""just [don't] dig"" the video and uses words like ""overproduced"", ""shaboozey"" (which implies something is wrong), and ""bored"" to describe their disappointment with Beyonce's performance."
"I never judge without hearing. And this ain't country. This is a bunch of country clichés put into one musical effort. And for those out there that wanna play the race card, it doesn't have anything to do with the color of skin. Shania Twain used to be country and after a few years, her music wasn't worthy of being called country. Nothing wrong with you if you like this composition, but it isn't country music.","I would classify this comment as Negative, justifying my answer by saying that the commenter is strongly expressing their disapproval of the song's genre and calling it a collection of ""country clichés"", implying that the music lacks authenticity and does not meet their standards for what constitutes ""country"" music."
Annoying AF,"I would classify this comment as Negative. The use of strong language (""AF"" is often used to emphasize a negative sentiment) and the phrase ""annoying"" clearly convey a negative opinion about the video."
"This video is not creative, repetitive, nude scenes, no awards, forgettable. Beyonce all the time","I would classify this comment as Negative. The commenter uses strong negative language to describe the video, stating it's ""not creative"", ""repetitive"", and ""forgettable"", which indicates a strongly unfavorable opinion."
"Sad to say this Is in a country album and she won against Chris Stapleton, it’s not a country song, says the same two lines the whole song, shit stupid and if u listen to the lyrics she just throwing shit together nothing about this song makes sense","I would classify this comment as Negative. The commenter uses strong language (""shit"", ""stupid"") and explicitly states that they do not like the song, calling it ""nonsense"" and implying that the artist is not taking their music seriously."
Boring song. Please don't change country music to this monotonous stuff too. 😢,"I would classify this comment as Negative. The comment states that the song is ""boring"" and uses words like ""monotonous"", indicating a strong negative sentiment towards the music."
Beyois still fire and I love the old school vibe.,"I would classify this comment as Positive. The user states that Beyoncé is ""still fire"" (implying she's great) and expresses their love for the old school vibe, indicating enthusiasm and appreciation for the music video."
Not a country fan music but this is a vibe,"I would classify this comment as Positive. The phrase ""this is a vibe"" suggests that the commenter enjoys the music video and finds it appealing, despite not being a fan of the genre."
