comentario,resposta_api
"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.","I would classify this comment as Positive. The commenter uses positive adjectives such as ""impressive"" to describe the mixing work, and specifically highlights a unique feature (spatialization of voices) that enhances their experience."
Absolutely awful,"I would classify this comment as Negative. The use of the word ""awful"" is strong language that clearly expresses a negative sentiment towards the video."
Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,"I would classify this comment as Positive. The commenter starts by saying ""it's really not that bad"" which is a neutral statement, but then they express their disagreement with others who are ""overreacting"" and conclude that the lyrics are ""not that bad"", implying that they do not have a strong negative reaction to the content."
"The visuals on her music videos are so tough, completely different vibe to just listening to it","I would classify this comment as Positive. The commenter uses the phrase ""tough"" to describe the visuals, implying that they are impressed by the quality or creativity of the visual elements, and also mentions a ""different vibe"", which suggests a sense of appreciation for the unique approach taken in the music video."
"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)","I would classify this comment as Negative. The commenter explicitly states that the song is ""one of the worst"" and makes derogatory remarks about the lyrics, singer, and overall quality of the music, using strong language to express their disapproval."
Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,"I would classify this comment as Positive. The commenter's use of emojis (😂) and playful tone (""from inside"") convey a lighthearted and humorous interpretation of Billie Eilish's performance, suggesting that they enjoy her music and find it entertaining."
"If this is music and ""lyrics"", sign me out.  B.S.","I would classify this comment as Negative. The commenter expresses strong dislike for the content, using words like ""B.S."" which implies that it's complete nonsense or rubbish, indicating a strongly negative sentiment."
"BIG VIBES of Daft Punk - Technologic, very similar","I would classify this comment as Neutral. The comment is simply stating that the song has big vibes and comparing it to another song, without expressing any strong emotions or opinions about the video itself."
Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,"I would classify this comment as Negative. Although the tone is somewhat sarcastic and tongue-in-cheek, the overall sentiment expressed is disappointment and negativity towards the outcome of the Brit Awards."
"cool music, has a cyberpunk vibe.","I classify this comment as Positive. The commenter uses the phrase ""cool music"" which is a clear indicator of enthusiasm and approval, and they also mention the song having a ""cyberpunk vibe"" which suggests an interesting and unique quality that they appreciate."
Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,"I would classify this comment as Positive. Although the commenter expresses a somewhat nuanced and critical opinion about Charli XCX's career trajectory, their overall tone is enthusiastic and supportive of the artist, praising her for still making music and implying that she has a cleaner reputation than Iggy Azalea."
1:00 the way Billie sings it’s kind of creepy lol especially with those lyrics,"I would classify this comment as Neutral. The commenter mentions that Billie's singing is ""kind of creepy"" which could be interpreted as negative, but they also use the phrase ""lol"" which suggests a lighthearted and playful tone, making it more neutral overall."
Sorry but this is crap. Both the music and the lyrics are crap. 👎👎,"I would classify this comment as Negative. The user uses strong language to express their dislike for both the music and lyrics, accompanied by multiple thumbs down emojis, indicating a strongly negative sentiment towards the video."
BRO WHEN BILLIE COMES IN ITS SO GOOD WITH THE SOUND AND BEAT OH MY GOSHH IAM DYINGGGGG❤❤😍😍,"I would classify this comment as Positive. The commenter uses enthusiastic language (""BRO"", ""SO GOOD"", ""OH MY GOSHH"", ""DYINGGGGG"") and emoticons (❤❤, 😍) to express their excitement and admiration for Billie's performance, indicating a strongly positive sentiment."
worst song ive ever heard in an add,"I would classify this comment as Negative. The user explicitly states that the song is ""worst"" and mentions it's from an ad, implying that they strongly dislike the music."
Idk why but the way she dances to the beat itches my brain just right,"I would classify this comment as Positive. The user is expressing a unique appreciation for the performer's dance style, using the phrase ""itches my brain just right"" to convey a sense of satisfaction and pleasure."
Technologic (Daft Punk) vibes 🔥,"I would classify this comment as Positive. The use of ""vibes"" and the 🔥 symbol convey enthusiasm and approval for the music video's style, likening it to a popular and well-liked song by Daft Punk."
That really had a great 2010's vibe. Great stuff!,"I would classify this comment as Positive. The use of ""great"" twice to describe the music video and its nostalgic value (""2010's vibe"") expresses enthusiasm and approval, indicating a positive sentiment towards the content."
Obsessed with the silly playful sexy vibes in this video. We need more!!,"I would classify this comment as Positive. The user is expressing enthusiastic admiration for the video's ""silly playful sexy"" vibes, indicating a strong positive sentiment towards the content."
This is awful 😆,"I would classify this comment as Negative. The use of the word ""awful"" and the tone implied by the sarcastic 😆 emoji convey a strong negative sentiment towards the music video."
I wonder what the pitch was like for this song,"I would classify this comment as Neutral. The commenter is expressing curiosity about the creative process behind the song's composition, but there is no emotional language or tone indicating a positive or negative sentiment towards the music itself."
Not my vibe but ok,"I would classify this comment as Neutral. The phrase ""not my vibe"" implies that the commenter doesn't particularly enjoy the song, but the subsequent ""but ok"" suggests that they don't have strong negative feelings about it either. Overall, the tone is ambivalent rather than strongly positive or negative."
HELP I'M SORRY BUT THE LYRICS AREN'T IT 😭,"I would classify this comment as Negative. The use of all caps and emoticons like 😭 convey strong emotions of frustration and disappointment, indicating that the commenter is unhappy with the lyrics."
Absolutely crap song and lyrics a joke surely.,"I would classify this comment as Negative. The commenter uses strong language (""absolutely crap"") to express their dislike for the song and its lyrics, making it clear that they have a strongly negative sentiment towards the content."
Best beat and melody so perfect,"I would classify this comment as Positive. The commenter uses superlatives (""best"", ""so perfect"") to express their enthusiasm for the song's beat and melody, indicating a strong positive sentiment."
Unpopular opinion-but the only good part of this song is the sampled preview of Billie’s verse 😶,"I would classify this comment as Negative. The commenter explicitly states that the only redeeming quality of the song is the preview of another artist's work, implying that they did not enjoy the rest of the song."
i cant believe it only goes for 2 minutes 40. This is the WORST break up ive ever had,"I would classify this comment as Negative. The commenter expresses disappointment and frustration with the song's length, using strong language (""WORST"") to describe their experience of a breakup that they associate with the song."
Billie giving that slim shady going to the emmies vibes,"I would classify this comment as Positive. The mention of Billie ( likely referring to Billie Eilish) and the comparison to ""slim shady"" (a popular song by Eminem) implies admiration for her style and confidence, conveying a positive tone."
"for those, 1:37 is the partto vibe to 😍","I would classify this comment as Positive. The use of the smiling face emoji 😍 and the phrase ""the part to vibe to"" indicate that the commenter enjoyed a specific moment in the video and wants others to experience it too."
Deliciously trashy but classy and humourous. The track is positively a catchy bass grinder. A totally bitchin' duo.,I would classify this comment as Positive.
I CANT EXPLAIN IT BUT BILLE HERE GIVES ME HUGE CARL GALLAGHER VIBES,"I would classify this comment as Positive. Justification: The commenter is expressing admiration for the artist's style, comparing them favorably to another well-known musician (Carl Gallagher), which indicates a positive sentiment towards the video or the artist."
Essa música tem muito a vibe de 2012~2014,"I would classify this comment as Positive. The commenter uses the phrase ""tem muito a vibe"" which means ""has a lot of vibe"", implying that they enjoy the music and its nostalgic value, associating it with a specific period in time (2012-2014) that is likely fondly remembered."
"This is quite possibly the worst song I’ve ever heard in my life. Not only is the music terrible, the lyrics are completely lacking any substance whatsoever. 🤢","I would classify this comment as Negative. The commenter uses strong language to express their dislike for the song, calling it ""the worst"" and criticizing both the music and lyrics as ""terrible"" and ""lacking any substance"". The use of a vomiting emoji (🤢) further reinforces the negative tone."
This is the best lyrics they could come up with???!!!! 😂,"I would classify this comment as Negative. The phrase ""best lyrics they could come up with"" implies that the commenter is disappointed and unimpressed by the lyrics, despite the sarcastic tone being used to express their opinion."
This might be the worst thing I've ever seen or heard.,"Negative

Justification: The commenter uses strong language (""worst thing"") to express their intense dislike for the music video, indicating a strong negative sentiment."
Billie's verse is sexy af. 🥵,"I would classify this comment as Positive. The use of ""sexy"" to describe Billie's verse is an enthusiastic endorsement, and the added emojis (especially 😅) further convey a playful and approving tone."
The worst song of the year could have been better if the lyrics weren't so vulgar and bad.,"I would classify this comment as Negative. The user explicitly states that the song is ""the worst"" and criticizes its lyrics as ""vulgar and bad"", showing a strong negative sentiment towards the song."
These are literally the worst lyrics I have ever heard for a song... And people love it...,"I would classify this comment as Negative. The commenter explicitly states that they think the lyrics are ""the worst"" they've ever heard, which indicates a strong negative sentiment towards the content."
You wanna guess the color of my underwear (finish the lyrics),"I would classify this comment as Neutral. The comment is playful and light-hearted, but it doesn't express any strong emotions or opinions about the music video itself. It appears to be a humorous attempt to engage with others in completing the song lyrics."
Who’s dropping the lyrics,"I would classify this comment as Neutral. The commenter is simply asking about the presence of lyrics in the song, without expressing any opinion or emotion about the content of the video."
"No soul, no melody, no real instruments, nothing good about this. It's just bad and trashy.","I would classify this comment as Negative. The comment uses strong language to express dissatisfaction with the music video, calling it ""bad"" and ""trashy"", indicating a strongly negative sentiment."
"As a longtime fan (since 2014) I was extremely excited seeing Charli finally getting her flowers after decade+ of hard (and exceptional) work... the very day this song came out on the deluxe I was sending it to my friends, all elated that we got such a gem as an additional gift to already flawless body of music. I liked all of the remixes and was overall fascinated about how good of a rollout this era had. Unfortunately, this particular remix along with all of the excessive draining the brat trends in social made me stop listening to the album completely. Unnecessary, distasteful lesbian references from Billie along with her exceedingly forced what-is-supposed-to-be-sexy tone made the song unlistenable to me. It is such a shame that promotion of explicit, unnatural behavior in song widely used for shorts/tik tok dances mainly consumed by young teenagers is met with reception totally devoid of any criticism. To be clear - I very much like both of the ladies' music and I have no problem with people's sexual preferences, I just stand in opposition to widespread promotion of these ideas to kids. Also, sometimes less is more and this is the proof.","I would classify this comment as Mixed/Combination.

The comment starts out positively, expressing excitement and appreciation for Charli XCX's music and a well-executed rollout. However, it takes a negative turn when discussing the specific remix in question, citing distasteful references and an ""unnatural"" tone that makes the song unlistenable. The commenter also expresses concerns about the impact of explicit content on young teenagers. Overall, while there are positive sentiments expressed, the negative comments and criticisms outweigh the initial enthusiasm, making this a mixed sentiment analysis."
"Me gusta, Pero siento que a sus canciones les hace falta más contraste entre la tonalidad de las estrofas y los coros, y un mejor gancho. Que haga más fácil de recordar la canción. I like it, but I feel like their songs need more contrast between the tonality of the verses and choruses, and a better hook that would make the song easier to remember.","I would classify this comment as Positive with a touch of Constructive Criticism. The user starts by saying ""Me gusta"" (I like it), indicating overall positivity towards the music video, but then provides specific suggestions for improvement, showing they are invested in the artist's growth and want to see them reach their full potential."
Vocal fry gone mad. One you recognize it you realize this isn’t singing.,"I would classify this comment as Negative. The commenter uses strong language (""gone mad"") to criticize the vocal style, implying that it is unpleasant or unskilled, which indicates a negative sentiment."
Daft punk inspired chorus,"I would classify this comment as Neutral. The comment is not expressing a strong opinion or emotion about the music video, but rather making a factual comparison to Daft Punk's style, indicating that the video has some similar elements."
This song is such a vibe,"I would classify this comment as Positive. The phrase ""such a vibe"" suggests that the commenter has a strong positive emotional response to the song, implying that it's energetic, catchy, or enjoyable."
It sounds good but it's worst then lunch,"I would classify this comment as Negative. The user starts with a neutral statement ""it sounds good"", but then immediately expresses dissatisfaction by comparing the song to something that is considered pleasurable (lunch), implying that the song is not enjoyable."
1:37 I dance to this beat until dawn,"I would classify this comment as Positive. The commenter mentions dancing until dawn, implying that the song has energized them and helped them have a great time, which is a positive sentiment."
this is without a doubt one of the worst songs ever made.  actually makes womens underwear seem cringy.,"I would classify this comment as Negative. The commenter explicitly states that the song is ""one of the worst"" and uses strong language to convey their dislike, with phrases like ""without a doubt"" and ""cringy""."
Todays music is pretty bad it this is a hit. Wheres the melody? The good singing voice? Anyone can sing this,"I would classify this comment as Negative. The commenter expresses disappointment with today's music and criticizes the song for lacking melody and good singing, indicating a negative sentiment towards the song."
"This is not ORIGINAL 🤮, this is Daft Punk and Busta rhythm","I would classify this comment as Negative. The user explicitly states that the song is ""not original"" and compares it unfavorably to another artist's work (Daft Punk), implying that they do not like or approve of the music video."
Why the beat sound like main theme of the sims 2 Nightlife,I would classify this comment as Neutral. The comment is simply making an observation about the song's beat without expressing any positive or negative emotions towards it.
All the people loving this beat I guess never heard of Daft Punk 🤷,"I would classify this comment as Negative. The commenter is expressing skepticism about people's positive reactions to the song, implying that they must not be familiar with Daft Punk's music (and therefore their opinion isn't valid)."
and no offense but the english are the mostgod awful rapacious national there is,"I would classify this comment as Negative. The commenter uses strong language to describe the English, calling them ""god awful"" and ""rapacious"", which indicates a strongly negative sentiment towards the nationality mentioned."
These lyrics just make sense for Billie,"I would classify this comment as Positive. The commenter is expressing appreciation for the lyrics being relatable to Billie's song, indicating a positive sentiment towards the artist and their work."
"The lyrics is inspired by the women who say ""kis colour ke chaddi phene ho""....😂😂","I would classify this comment as Positive. The use of humor (""😂😂"") and the acknowledgement that the lyrics are ""inspired"" by something or someone suggests a lighthearted and appreciative tone, which is characteristic of positive sentiment."
This video gives such I’m A Slave 4 U vibes. I feel this’ll go down as this generation version of that. I love it,"I would classify this comment as Positive. The user explicitly states ""I love it"", which indicates a strong positive sentiment towards the music video, and they also compare it favorably to another popular song (""I'm A Slave 4 U""), suggesting high praise for the content."
"HORRIBLE!!! Computer Not music, and stupid lyrics","I would classify this comment as Negative. The use of strong language like ""HORRIBLE"" and the criticism of the song's genre (""Computer Not music"") and lyrics suggests that the commenter has a strong dislike for the video."
This banger is catchy AF 👍,"I would classify this comment as Positive. The use of the phrase ""banger"" to describe the song, combined with the enthusiastic emoji ""👍"", clearly convey a sense of excitement and approval towards the music video."
"no one mentioning how nostalgic this song is because of the ""technologic"" catchy sample??","I would classify this comment as Positive. The commenter is expressing nostalgia for the song and praising its catchiness, indicating a strong positive sentiment towards the music video."
The rythm gives me vibes of Daft Punk Technologic,"I would classify this comment as Positive. The user is expressing a positive sentiment towards the music by stating that it gives them ""vibes"" similar to a highly acclaimed and popular artist, Daft Punk."
Billie laughing before her verse has me in a headlock,"I would classify this comment as Positive. The phrase ""has me in a headlock"" is an exaggeration that conveys the commenter's strong enthusiasm and emotional investment in Billie's performance, implying a sense of joy or excitement."
Billie's whole verse is living in my head rent free!!,"I would classify this comment as Positive. The phrase ""living in my head rent free"" is an idiomatic expression that means being stuck in one's mind without effort or intention to remove, implying the commenter has immense appreciation for Billie's performance and it has become an integral part of their thoughts."
"Billie eilish' vocals are really perfect for this, sheesh, best feature since R.Kelly did what he wanted with Lady Gaga's song, there","I would classify this comment as Positive. Justification: The comment uses positive language (""perfect""), makes a favorable comparison to another popular artist (R.Kelly and Lady Gaga), and overall tone is praising of Billie Eilish's vocals."
Very underwhelming generic rehash,"I would classify this comment as Negative. Justification: The use of strong negative words like ""underwhelming"" and ""generic"" suggests that the commenter is disappointed with the music video and has low expectations."
"Lmaooo it took five people to write this? This is so bad it’s not even funny anymore. I’m deeply concerned for people who fall for this. I think people are confusing this for music because it reminds them of music. This is very depressing, societal collapse seems imminent when I hear noises like these.","I would classify this comment as Negative. The commenter uses strong language to express their dislike, calling the song ""so bad it's not even funny anymore"" and stating that they are ""deeply concerned"" for those who enjoy it. They also compare the song to societal collapse, emphasizing its negative impact on society."
GIVING VIBES💋😳☺️,"I would classify this comment as Positive.

The use of emojis such as 💋, 😳, and ☺️ all convey a sense of excitement and enthusiasm, indicating that the commenter is giving their enthusiastic approval or endorsement of the video. The tone is upbeat and energetic, suggesting a positive sentiment towards the content."
Skins vibes,"I would classify this comment as Positive. The mention of ""Skins vibes"" likely refers to the user's fondness for the TV show Skins and their connection of those feelings to the music video, indicating a positive emotional response."
"My mom is in the car with me and she’s listening this song😢😢😅 she’s ukrainian so she doesn’t know the translation,she put this song only for the hard beat in the car 😅😅","I would classify this comment as Positive. The commenter expresses joy and humor (😂) while sharing a personal experience of their mom enjoying the music, indicating a positive sentiment towards the song."
"The awful lyrics ruined this song's chance to even be remotely good, its literally unlistenable.","I would classify this comment as Negative. The user explicitly states that the lyrics are ""awful"" and the song is ""unlistenable"", indicating strong disapproval and dislike for the music."
"The lyrics/beat during certain parts give me Daft Punk ""Technologic"" vibes!","I would classify this comment as Positive. The user is expressing admiration for the song's similarities to a well-known and highly-regarded artist (Daft Punk), indicating a positive sentiment towards the music video."
"La rolita esta chida pero de un tempo para acá los videos musicales ya no entretienen ni poquito, les falta creatividad","I would classify this comment as Negative. The user starts by saying the ""rolita"" (little thing) is fun, but then expresses disappointment with music videos in general, feeling they lack creativity."
I honestly missed the 2010s music  vibe it’s fire idc,"I would classify this comment as Positive. The user explicitly states that they missed the ""fire"" (a slang term for something being great) 2010s music vibe, showing enthusiasm and approval towards the video's musical style."
Jesus this is just awful,"I would classify this comment as Negative. The commenter uses strong language (""awful"") to express their dislike for the music video, indicating a strongly negative sentiment."
Not a Charli fan (or even a billie one) but this lowkey ate even drowned in autotune,"I would classify this comment as Neutral. The commenter expresses skepticism towards the artists involved, but ultimately uses humor and irony to praise the song's ability to ""eat"" or be enjoyed, despite being ""drowned in autotune"", showing a non-negative attitude towards the music itself."
Billie's voice on this beat is freaking  awesome❤ such a hit 🔥 and I turned fan of Charli xcx bcs of Billie when I saw this music video with the 2 of them❤,"I would classify this comment as Positive. The commenter uses superlatives like ""freaking awesome"" and ""hit"", and expresses enthusiasm with emojis (❤, 🔥). They also mention becoming a fan of another artist due to Billie's influence, indicating strong admiration for her work."
Don't agree with the lyrics but- I do it with the music.,"I would classify this comment as Positive. Although the user doesn't agree with the song's lyrics, they are still enjoying the music itself, which is a positive sentiment towards the artist and their work."
Geiler Beat 😁👍,"I would classify this comment as Positive. The use of emojis such as 😁 and 👍 indicates a strong positive sentiment, suggesting that the commenter enjoys the music and is expressing approval."
That beat drop thou,"I would classify this comment as Positive. The use of ""thou"" is a playful nod to old-fashioned language, which adds to the lighthearted and enthusiastic tone of the comment, suggesting that the user was excited by the music's energy and specifically the moment when the beat dropped."
This is fucking awful. Big yikes,"I would classify this comment as Negative. The use of strong language (""fucking"") and phrases like ""big yikes"" convey a strong sense of dislike and disapproval towards the video."
Dumbest song I've ever listened to.  The beat sounds like shit.,"I would classify this comment as Negative. Justification: The commenter uses strong language (""dumbest"", ""sounds like shit"") to express their dislike for the song, indicating a strongly negative sentiment."
Get kid Cudi to do your beats on the whole album it should work! Superbowl halftime,"I would classify this comment as Positive. Justification: The comment expresses enthusiasm and approval for Kid Cudi's potential involvement in the artist's music project, using positive adjectives like ""superb"" to describe a hypothetical outcome."
It need a 3rd verse with Melanie Martinez,"I would classify this comment as Positive. The commenter is expressing enthusiasm for the music video and suggesting an improvement, indicating that they generally enjoyed it."
This song gives the vibe🤘🤟🔥🔥🔥🔥🔥,"I would classify this comment as Positive. The use of emojis such as 🤘, 🤟, 🔥 (repeated multiple times) conveys a strong sense of enthusiasm and excitement, indicating that the commenter has a very positive opinion of the song."
"0:33 love heer, totally waiter vibes","I would classify this comment as Positive. The use of ""love"" and the phrase ""totally waiter vibes"" indicate that the commenter is enjoying the content and has a strong positive association with it."
This song is the reason I'm following omg I've never been sooooo intrigued with a video and the lyrics. Amazing!!!!! This is the song I'll have on repeat ❤,"I would classify this comment as Positive. The user's enthusiastic language, including the repetition of ""amazing"" and use of multiple exclamation points, conveys a strong sense of admiration and excitement for the music video and song."
This is a fucking vibe and a half,"I would classify this comment as Positive. The use of the word ""fucking"" adds a layer of enthusiasm and emphasis to the phrase, indicating that the commenter truly loves the music video's vibe."
Vibe,"I would classify this comment as Positive. The word ""vibe"" implies a positive emotional connection to the song or video, suggesting that the commenter enjoys the overall atmosphere or feeling it evokes."
"OMGGGGGGGGG I CANT HEAR IT EVERYDAY, cause the beat make me overheat my heart📈📈","I would classify this comment as Positive. The use of all-caps ""OMGGGGGG"" and enthusiastic language (""cause the beat make me..."") convey a strong emotional response that is overwhelmingly positive, suggesting that the commenter loves the music video."
Never thought I’d hear such a dirty song with such a dirty beat with GOOGLE DRIVE in the lyrics 😂😂😂😂😂😂😂,"I would classify this comment as Positive. The use of multiple laughing emojis (😂) and phrases like ""Never thought I'd"" suggest that the commenter is surprised and delighted by the song, indicating a positive sentiment."
Love that Billie hit that technologic beat in there,"I would classify this comment as Positive. The commenter explicitly states they ""love"" the song, indicating a strong positive sentiment towards the artist's (Billie) performance."
This song give me victoria secrets vibe 🎉,"I would classify this comment as Positive. The use of the enthusiastic emoji 🎉 and the comparison to Victoria's Secret, which is often associated with sex appeal and confidence, suggests that the commenter has a strong positive reaction to the song."
"This is awful, I miss when sophie was making her music. This entire genre died with Sophie","I would classify this comment as Negative. The commenter explicitly states that the video is ""awful"" and expresses disappointment towards the artist's evolution, implying a negative sentiment towards the content being discussed."
Possibly the worst song ever made. My ears are bleeding,"I would classify this comment as Negative. The language used is extremely critical, with phrases like ""worst song ever made"" and ""ears are bleeding"", which convey strong disapproval of the music video."
"Pop has certainly moved on from The Beatles' ""I wanna hold your hand""...😮","Neutral.

This comment is neutral because it simply makes an observation about the evolution of pop music without expressing any emotional tone or opinion."
What a beat😼💥,"I would classify this comment as Positive. The use of enthusiastic emojis (😼💥) and phrases like ""what a"" imply that the commenter is very pleased with the music video."
"Definitely inspired by ""i broke my arm"" by SNL ft. Emma Stone","I would classify this comment as Positive. The commenter explicitly states that they were ""inspired"" by the song, indicating a positive emotional response to the music."
I’ve liked Charli ever since her song Fancy with Iggy. That collab with Iggy on Fancy really put Charli XCX on the map for a lot of people — catchy and full of attitude.,"I would classify this comment as Positive, because it expresses admiration for Charli XCX and highlights her collaboration with Iggy Azalea as a successful and memorable moment in her career."
why the fuck am i blushing hard when billie's verse came,"I would classify this comment as Positive. The user is expressing strong emotions (blushing) and admiration for Billie's performance, indicating that they enjoyed her part in the song."
Ashnikko would have been a beater feature,"I classify this comment as Neutral. The commenter is simply stating a hypothetical opinion about Ashnikko's potential as a feature artist, without expressing any positive or negative sentiment towards the artist or their music."
